,Year,City,Age Range,Number in Range
7875,2017,"Las Vegas, NV",45 to 54 Years,89712
7876,2016,"Las Vegas, NV",5 to 17 Years,109481
7877,2016,"Las Vegas, NV",18 to 24 Years,56507
7878,2016,"Las Vegas, NV",60 & 61 Years,15565
7879,2016,"Las Vegas, NV",75 Years & Over,35509
7880,2016,"Las Vegas, NV",45 to 54 Years,85536
7881,2016,"Las Vegas, NV",35 to 44 Years,87863
7882,2016,"Las Vegas, NV",62 to 64 Years,22071
7883,2016,"Las Vegas, NV",65 to 74 Years,57259
7884,2016,"Las Vegas, NV",55 to 59 Years,36759
7885,2016,"Las Vegas, NV",Under 5 Years,41610
7886,2016,"Las Vegas, NV",25 to 34 Years,84756
7887,2015,"Las Vegas, NV",25 to 34 Years,87920
7888,2015,"Las Vegas, NV",18 to 24 Years,52436
7889,2015,"Las Vegas, NV",55 to 59 Years,41969
7890,2015,"Las Vegas, NV",75 Years & Over,34577
7891,2015,"Las Vegas, NV",35 to 44 Years,79679
7892,2015,"Las Vegas, NV",60 & 61 Years,14876
7893,2015,"Las Vegas, NV",Under 5 Years,38760
7894,2015,"Las Vegas, NV",5 to 17 Years,112900
7895,2015,"Las Vegas, NV",45 to 54 Years,88996
7896,2015,"Las Vegas, NV",62 to 64 Years,20371
7897,2015,"Las Vegas, NV",65 to 74 Years,51285
7898,2014,"Las Vegas, NV",62 to 64 Years,18141
7899,2014,"Las Vegas, NV",5 to 17 Years,111136
7900,2014,"Las Vegas, NV",Under 5 Years,40238
7901,2014,"Las Vegas, NV",25 to 34 Years,90441
7902,2014,"Las Vegas, NV",55 to 59 Years,38513
7903,2014,"Las Vegas, NV",35 to 44 Years,85184
7904,2014,"Las Vegas, NV",75 Years & Over,30818
7905,2014,"Las Vegas, NV",60 & 61 Years,11523
7906,2014,"Las Vegas, NV",45 to 54 Years,80705
7907,2014,"Las Vegas, NV",18 to 24 Years,57958
7908,2014,"Las Vegas, NV",65 to 74 Years,48933
7909,2013,"Las Vegas, NV",75 Years & Over,32787
7910,2013,"Las Vegas, NV",65 to 74 Years,46628
7911,2013,"Las Vegas, NV",18 to 24 Years,54333
7912,2013,"Las Vegas, NV",62 to 64 Years,17125
7913,2013,"Las Vegas, NV",35 to 44 Years,84702
7914,2013,"Las Vegas, NV",25 to 34 Years,86219
7915,2013,"Las Vegas, NV",60 & 61 Years,11882
7916,2013,"Las Vegas, NV",45 to 54 Years,82713
7917,2013,"Las Vegas, NV",5 to 17 Years,110203
7918,2013,"Las Vegas, NV",55 to 59 Years,38628
7919,2013,"Las Vegas, NV",Under 5 Years,38305
7920,2018,"Los Angeles, CA",18 to 24 Years,400942
7921,2018,"Los Angeles, CA",75 Years & Over,216817
7922,2018,"Los Angeles, CA",45 to 54 Years,513173
7923,2018,"Los Angeles, CA",Under 5 Years,228554
7924,2018,"Los Angeles, CA",65 to 74 Years,295610
7925,2018,"Los Angeles, CA",35 to 44 Years,574760
7926,2018,"Los Angeles, CA",55 to 59 Years,238857
7927,2018,"Los Angeles, CA",5 to 17 Years,576129
7928,2018,"Los Angeles, CA",62 to 64 Years,120611
7929,2018,"Los Angeles, CA",25 to 34 Years,732538
7930,2018,"Los Angeles, CA",60 & 61 Years,92478
7931,2017,"Los Angeles, CA",5 to 17 Years,592841
7932,2017,"Los Angeles, CA",75 Years & Over,212358
7933,2017,"Los Angeles, CA",60 & 61 Years,92670
7934,2017,"Los Angeles, CA",25 to 34 Years,714226
7935,2017,"Los Angeles, CA",62 to 64 Years,119771
7936,2017,"Los Angeles, CA",18 to 24 Years,410400
7937,2017,"Los Angeles, CA",55 to 59 Years,241977
7938,2017,"Los Angeles, CA",35 to 44 Years,573786
7939,2017,"Los Angeles, CA",65 to 74 Years,282747
7940,2017,"Los Angeles, CA",Under 5 Years,229431
7941,2017,"Los Angeles, CA",45 to 54 Years,529535
7942,2016,"Los Angeles, CA",5 to 17 Years,593627
7943,2016,"Los Angeles, CA",18 to 24 Years,413650
7944,2016,"Los Angeles, CA",60 & 61 Years,90808
7945,2016,"Los Angeles, CA",75 Years & Over,213048
7946,2016,"Los Angeles, CA",45 to 54 Years,536618
7947,2016,"Los Angeles, CA",35 to 44 Years,566352
7948,2016,"Los Angeles, CA",62 to 64 Years,114153
7949,2016,"Los Angeles, CA",65 to 74 Years,268156
7950,2016,"Los Angeles, CA",55 to 59 Years,237125
7951,2016,"Los Angeles, CA",Under 5 Years,233976
7952,2016,"Los Angeles, CA",25 to 34 Years,708811
7953,2015,"Los Angeles, CA",25 to 34 Years,704854
7954,2015,"Los Angeles, CA",18 to 24 Years,429347
7955,2015,"Los Angeles, CA",55 to 59 Years,228331
7956,2015,"Los Angeles, CA",75 Years & Over,202526
7957,2015,"Los Angeles, CA",35 to 44 Years,568885
7958,2015,"Los Angeles, CA",60 & 61 Years,83834
7959,2015,"Los Angeles, CA",Under 5 Years,255499
7960,2015,"Los Angeles, CA",5 to 17 Years,599135
7961,2015,"Los Angeles, CA",45 to 54 Years,528054
7962,2015,"Los Angeles, CA",62 to 64 Years,115897
7963,2015,"Los Angeles, CA",65 to 74 Years,255534
7964,2014,"Los Angeles, CA",62 to 64 Years,109814
7965,2014,"Los Angeles, CA",5 to 17 Years,605819
7966,2014,"Los Angeles, CA",Under 5 Years,251108
7967,2014,"Los Angeles, CA",25 to 34 Years,675818
7968,2014,"Los Angeles, CA",55 to 59 Years,225217
7969,2014,"Los Angeles, CA",35 to 44 Years,574957
7970,2014,"Los Angeles, CA",75 Years & Over,203248
7971,2014,"Los Angeles, CA",60 & 61 Years,83920
7972,2014,"Los Angeles, CA",45 to 54 Years,515137
7973,2014,"Los Angeles, CA",18 to 24 Years,431909
7974,2014,"Los Angeles, CA",65 to 74 Years,251880
7975,2013,"Los Angeles, CA",75 Years & Over,189991
7976,2013,"Los Angeles, CA",65 to 74 Years,237059
7977,2013,"Los Angeles, CA",18 to 24 Years,440666
7978,2013,"Los Angeles, CA",62 to 64 Years,105902
7979,2013,"Los Angeles, CA",35 to 44 Years,578893
7980,2013,"Los Angeles, CA",25 to 34 Years,662994
7981,2013,"Los Angeles, CA",60 & 61 Years,81159
7982,2013,"Los Angeles, CA",45 to 54 Years,510884
7983,2013,"Los Angeles, CA",5 to 17 Years,603880
7984,2013,"Los Angeles, CA",55 to 59 Years,222970
7985,2013,"Los Angeles, CA",Under 5 Years,249942
7986,2018,"Los Angeles, CA",18 to 24 Years,400942
7987,2018,"Los Angeles, CA",75 Years & Over,216817
7988,2018,"Los Angeles, CA",45 to 54 Years,513173
7989,2018,"Los Angeles, CA",Under 5 Years,228554
7990,2018,"Los Angeles, CA",65 to 74 Years,295610
7991,2018,"Los Angeles, CA",35 to 44 Years,574760
7992,2018,"Los Angeles, CA",55 to 59 Years,238857
7993,2018,"Los Angeles, CA",5 to 17 Years,576129
7994,2018,"Los Angeles, CA",62 to 64 Years,120611
7995,2018,"Los Angeles, CA",25 to 34 Years,732538
7996,2018,"Los Angeles, CA",60 & 61 Years,92478
7997,2017,"Los Angeles, CA",5 to 17 Years,592841
7998,2017,"Los Angeles, CA",75 Years & Over,212358
7999,2017,"Los Angeles, CA",60 & 61 Years,92670
8000,2017,"Los Angeles, CA",25 to 34 Years,714226
8001,2017,"Los Angeles, CA",62 to 64 Years,119771
8002,2017,"Los Angeles, CA",18 to 24 Years,410400
8003,2017,"Los Angeles, CA",55 to 59 Years,241977
8004,2017,"Los Angeles, CA",35 to 44 Years,573786
8005,2017,"Los Angeles, CA",65 to 74 Years,282747
8006,2017,"Los Angeles, CA",Under 5 Years,229431
8007,2017,"Los Angeles, CA",45 to 54 Years,529535
8008,2016,"Los Angeles, CA",5 to 17 Years,593627
8009,2016,"Los Angeles, CA",18 to 24 Years,413650
8010,2016,"Los Angeles, CA",60 & 61 Years,90808
8011,2016,"Los Angeles, CA",75 Years & Over,213048
8012,2016,"Los Angeles, CA",45 to 54 Years,536618
8013,2016,"Los Angeles, CA",35 to 44 Years,566352
8014,2016,"Los Angeles, CA",62 to 64 Years,114153
8015,2016,"Los Angeles, CA",65 to 74 Years,268156
8016,2016,"Los Angeles, CA",55 to 59 Years,237125
8017,2016,"Los Angeles, CA",Under 5 Years,233976
8018,2016,"Los Angeles, CA",25 to 34 Years,708811
8019,2015,"Los Angeles, CA",25 to 34 Years,704854
8020,2015,"Los Angeles, CA",18 to 24 Years,429347
8021,2015,"Los Angeles, CA",55 to 59 Years,228331
8022,2015,"Los Angeles, CA",75 Years & Over,202526
8023,2015,"Los Angeles, CA",35 to 44 Years,568885
8024,2015,"Los Angeles, CA",60 & 61 Years,83834
8025,2015,"Los Angeles, CA",Under 5 Years,255499
8026,2015,"Los Angeles, CA",5 to 17 Years,599135
8027,2015,"Los Angeles, CA",45 to 54 Years,528054
8028,2015,"Los Angeles, CA",62 to 64 Years,115897
8029,2015,"Los Angeles, CA",65 to 74 Years,255534
8030,2014,"Los Angeles, CA",62 to 64 Years,109814
8031,2014,"Los Angeles, CA",5 to 17 Years,605819
8032,2014,"Los Angeles, CA",Under 5 Years,251108
8033,2014,"Los Angeles, CA",25 to 34 Years,675818
8034,2014,"Los Angeles, CA",55 to 59 Years,225217
8035,2014,"Los Angeles, CA",35 to 44 Years,574957
8036,2014,"Los Angeles, CA",75 Years & Over,203248
8037,2014,"Los Angeles, CA",60 & 61 Years,83920
8038,2014,"Los Angeles, CA",45 to 54 Years,515137
8039,2014,"Los Angeles, CA",18 to 24 Years,431909
8040,2014,"Los Angeles, CA",65 to 74 Years,251880
8041,2013,"Los Angeles, CA",75 Years & Over,189991
8042,2013,"Los Angeles, CA",65 to 74 Years,237059
8043,2013,"Los Angeles, CA",18 to 24 Years,440666
8044,2013,"Los Angeles, CA",62 to 64 Years,105902
8045,2013,"Los Angeles, CA",35 to 44 Years,578893
8046,2013,"Los Angeles, CA",25 to 34 Years,662994
8047,2013,"Los Angeles, CA",60 & 61 Years,81159
8048,2013,"Los Angeles, CA",45 to 54 Years,510884
8049,2013,"Los Angeles, CA",5 to 17 Years,603880
8050,2013,"Los Angeles, CA",55 to 59 Years,222970
8051,2013,"Los Angeles, CA",Under 5 Years,249942
8052,2018,"Los Angeles, CA",18 to 24 Years,400942
8053,2018,"Los Angeles, CA",75 Years & Over,216817
8054,2018,"Los Angeles, CA",45 to 54 Years,513173
8055,2018,"Los Angeles, CA",Under 5 Years,228554
8056,2018,"Los Angeles, CA",65 to 74 Years,295610
8057,2018,"Los Angeles, CA",35 to 44 Years,574760
8058,2018,"Los Angeles, CA",55 to 59 Years,238857
8059,2018,"Los Angeles, CA",5 to 17 Years,576129
8060,2018,"Los Angeles, CA",62 to 64 Years,120611
8061,2018,"Los Angeles, CA",25 to 34 Years,732538
8062,2018,"Los Angeles, CA",60 & 61 Years,92478
8063,2017,"Los Angeles, CA",5 to 17 Years,592841
8064,2017,"Los Angeles, CA",75 Years & Over,212358
8065,2017,"Los Angeles, CA",60 & 61 Years,92670
8066,2017,"Los Angeles, CA",25 to 34 Years,714226
8067,2017,"Los Angeles, CA",62 to 64 Years,119771
8068,2017,"Los Angeles, CA",18 to 24 Years,410400
8069,2017,"Los Angeles, CA",55 to 59 Years,241977
8070,2017,"Los Angeles, CA",35 to 44 Years,573786
8071,2017,"Los Angeles, CA",65 to 74 Years,282747
8072,2017,"Los Angeles, CA",Under 5 Years,229431
8073,2017,"Los Angeles, CA",45 to 54 Years,529535
8074,2016,"Los Angeles, CA",5 to 17 Years,593627
8075,2016,"Los Angeles, CA",18 to 24 Years,413650
8076,2016,"Los Angeles, CA",60 & 61 Years,90808
8077,2016,"Los Angeles, CA",75 Years & Over,213048
8078,2016,"Los Angeles, CA",45 to 54 Years,536618
8079,2016,"Los Angeles, CA",35 to 44 Years,566352
8080,2016,"Los Angeles, CA",62 to 64 Years,114153
8081,2016,"Los Angeles, CA",65 to 74 Years,268156
8082,2016,"Los Angeles, CA",55 to 59 Years,237125
8083,2016,"Los Angeles, CA",Under 5 Years,233976
8084,2016,"Los Angeles, CA",25 to 34 Years,708811
8085,2015,"Los Angeles, CA",25 to 34 Years,704854
8086,2015,"Los Angeles, CA",18 to 24 Years,429347
8087,2015,"Los Angeles, CA",55 to 59 Years,228331
8088,2015,"Los Angeles, CA",75 Years & Over,202526
8089,2015,"Los Angeles, CA",35 to 44 Years,568885
8090,2015,"Los Angeles, CA",60 & 61 Years,83834
8091,2015,"Los Angeles, CA",Under 5 Years,255499
8092,2015,"Los Angeles, CA",5 to 17 Years,599135
8093,2015,"Los Angeles, CA",45 to 54 Years,528054
8094,2015,"Los Angeles, CA",62 to 64 Years,115897
8095,2015,"Los Angeles, CA",65 to 74 Years,255534
8096,2014,"Los Angeles, CA",62 to 64 Years,109814
8097,2014,"Los Angeles, CA",5 to 17 Years,605819
8098,2014,"Los Angeles, CA",Under 5 Years,251108
8099,2014,"Los Angeles, CA",25 to 34 Years,675818
8100,2014,"Los Angeles, CA",55 to 59 Years,225217
8101,2014,"Los Angeles, CA",35 to 44 Years,574957
8102,2014,"Los Angeles, CA",75 Years & Over,203248
8103,2014,"Los Angeles, CA",60 & 61 Years,83920
8104,2014,"Los Angeles, CA",45 to 54 Years,515137
8105,2014,"Los Angeles, CA",18 to 24 Years,431909
8106,2014,"Los Angeles, CA",65 to 74 Years,251880
8107,2013,"Los Angeles, CA",75 Years & Over,189991
8108,2013,"Los Angeles, CA",65 to 74 Years,237059
8109,2013,"Los Angeles, CA",18 to 24 Years,440666
8110,2013,"Los Angeles, CA",62 to 64 Years,105902
8111,2013,"Los Angeles, CA",35 to 44 Years,578893
8112,2013,"Los Angeles, CA",25 to 34 Years,662994
8113,2013,"Los Angeles, CA",60 & 61 Years,81159
8114,2013,"Los Angeles, CA",45 to 54 Years,510884
8115,2013,"Los Angeles, CA",5 to 17 Years,603880
8116,2013,"Los Angeles, CA",55 to 59 Years,222970
8117,2013,"Los Angeles, CA",Under 5 Years,249942
8118,2018,"Los Angeles, CA",18 to 24 Years,400942
8119,2018,"Los Angeles, CA",75 Years & Over,216817
8120,2018,"Los Angeles, CA",45 to 54 Years,513173
8121,2018,"Los Angeles, CA",Under 5 Years,228554
8122,2018,"Los Angeles, CA",65 to 74 Years,295610
8123,2018,"Los Angeles, CA",35 to 44 Years,574760
8124,2018,"Los Angeles, CA",55 to 59 Years,238857
8125,2018,"Los Angeles, CA",5 to 17 Years,576129
8126,2018,"Los Angeles, CA",62 to 64 Years,120611
8127,2018,"Los Angeles, CA",25 to 34 Years,732538
8128,2018,"Los Angeles, CA",60 & 61 Years,92478
8129,2017,"Los Angeles, CA",5 to 17 Years,592841
8130,2017,"Los Angeles, CA",75 Years & Over,212358
8131,2017,"Los Angeles, CA",60 & 61 Years,92670
8132,2017,"Los Angeles, CA",25 to 34 Years,714226
8133,2017,"Los Angeles, CA",62 to 64 Years,119771
8134,2017,"Los Angeles, CA",18 to 24 Years,410400
8135,2017,"Los Angeles, CA",55 to 59 Years,241977
8136,2017,"Los Angeles, CA",35 to 44 Years,573786
8137,2017,"Los Angeles, CA",65 to 74 Years,282747
8138,2017,"Los Angeles, CA",Under 5 Years,229431
8139,2017,"Los Angeles, CA",45 to 54 Years,529535
8140,2016,"Los Angeles, CA",5 to 17 Years,593627
8141,2016,"Los Angeles, CA",18 to 24 Years,413650
8142,2016,"Los Angeles, CA",60 & 61 Years,90808
8143,2016,"Los Angeles, CA",75 Years & Over,213048
8144,2016,"Los Angeles, CA",45 to 54 Years,536618
8145,2016,"Los Angeles, CA",35 to 44 Years,566352
8146,2016,"Los Angeles, CA",62 to 64 Years,114153
8147,2016,"Los Angeles, CA",65 to 74 Years,268156
8148,2016,"Los Angeles, CA",55 to 59 Years,237125
8149,2016,"Los Angeles, CA",Under 5 Years,233976
8150,2016,"Los Angeles, CA",25 to 34 Years,708811
8151,2015,"Los Angeles, CA",25 to 34 Years,704854
8152,2015,"Los Angeles, CA",18 to 24 Years,429347
8153,2015,"Los Angeles, CA",55 to 59 Years,228331
8154,2015,"Los Angeles, CA",75 Years & Over,202526
8155,2015,"Los Angeles, CA",35 to 44 Years,568885
8156,2015,"Los Angeles, CA",60 & 61 Years,83834
8157,2015,"Los Angeles, CA",Under 5 Years,255499
8158,2015,"Los Angeles, CA",5 to 17 Years,599135
8159,2015,"Los Angeles, CA",45 to 54 Years,528054
8160,2015,"Los Angeles, CA",62 to 64 Years,115897
8161,2015,"Los Angeles, CA",65 to 74 Years,255534
8162,2014,"Los Angeles, CA",62 to 64 Years,109814
8163,2014,"Los Angeles, CA",5 to 17 Years,605819
8164,2014,"Los Angeles, CA",Under 5 Years,251108
8165,2014,"Los Angeles, CA",25 to 34 Years,675818
8166,2014,"Los Angeles, CA",55 to 59 Years,225217
8167,2014,"Los Angeles, CA",35 to 44 Years,574957
8168,2014,"Los Angeles, CA",75 Years & Over,203248
8169,2014,"Los Angeles, CA",60 & 61 Years,83920
8170,2014,"Los Angeles, CA",45 to 54 Years,515137
8171,2014,"Los Angeles, CA",18 to 24 Years,431909
8172,2014,"Los Angeles, CA",65 to 74 Years,251880
8173,2013,"Los Angeles, CA",75 Years & Over,189991
8174,2013,"Los Angeles, CA",65 to 74 Years,237059
8175,2013,"Los Angeles, CA",18 to 24 Years,440666
8176,2013,"Los Angeles, CA",62 to 64 Years,105902
8177,2013,"Los Angeles, CA",35 to 44 Years,578893
8178,2013,"Los Angeles, CA",25 to 34 Years,662994
8179,2013,"Los Angeles, CA",60 & 61 Years,81159
8180,2013,"Los Angeles, CA",45 to 54 Years,510884
8181,2013,"Los Angeles, CA",5 to 17 Years,603880
8182,2013,"Los Angeles, CA",55 to 59 Years,222970
8183,2013,"Los Angeles, CA",Under 5 Years,249942
8184,2018,"Los Angeles, CA",18 to 24 Years,400942
8185,2018,"Los Angeles, CA",75 Years & Over,216817
8186,2018,"Los Angeles, CA",45 to 54 Years,513173
8187,2018,"Los Angeles, CA",Under 5 Years,228554
8188,2018,"Los Angeles, CA",65 to 74 Years,295610
8189,2018,"Los Angeles, CA",35 to 44 Years,574760
8190,2018,"Los Angeles, CA",55 to 59 Years,238857
8191,2018,"Los Angeles, CA",5 to 17 Years,576129
8192,2018,"Los Angeles, CA",62 to 64 Years,120611
8193,2018,"Los Angeles, CA",25 to 34 Years,732538
8194,2018,"Los Angeles, CA",60 & 61 Years,92478
8195,2017,"Los Angeles, CA",5 to 17 Years,592841
8196,2017,"Los Angeles, CA",75 Years & Over,212358
8197,2017,"Los Angeles, CA",60 & 61 Years,92670
8198,2017,"Los Angeles, CA",25 to 34 Years,714226
8199,2017,"Los Angeles, CA",62 to 64 Years,119771
8200,2017,"Los Angeles, CA",18 to 24 Years,410400
8201,2017,"Los Angeles, CA",55 to 59 Years,241977
8202,2017,"Los Angeles, CA",35 to 44 Years,573786
8203,2017,"Los Angeles, CA",65 to 74 Years,282747
8204,2017,"Los Angeles, CA",Under 5 Years,229431
8205,2017,"Los Angeles, CA",45 to 54 Years,529535
8206,2016,"Los Angeles, CA",5 to 17 Years,593627
8207,2016,"Los Angeles, CA",18 to 24 Years,413650
8208,2016,"Los Angeles, CA",60 & 61 Years,90808
8209,2016,"Los Angeles, CA",75 Years & Over,213048
8210,2016,"Los Angeles, CA",45 to 54 Years,536618
8211,2016,"Los Angeles, CA",35 to 44 Years,566352
8212,2016,"Los Angeles, CA",62 to 64 Years,114153
8213,2016,"Los Angeles, CA",65 to 74 Years,268156
8214,2016,"Los Angeles, CA",55 to 59 Years,237125
8215,2016,"Los Angeles, CA",Under 5 Years,233976
8216,2016,"Los Angeles, CA",25 to 34 Years,708811
8217,2015,"Los Angeles, CA",25 to 34 Years,704854
8218,2015,"Los Angeles, CA",18 to 24 Years,429347
8219,2015,"Los Angeles, CA",55 to 59 Years,228331
8220,2015,"Los Angeles, CA",75 Years & Over,202526
8221,2015,"Los Angeles, CA",35 to 44 Years,568885
8222,2015,"Los Angeles, CA",60 & 61 Years,83834
8223,2015,"Los Angeles, CA",Under 5 Years,255499
8224,2015,"Los Angeles, CA",5 to 17 Years,599135
8225,2015,"Los Angeles, CA",45 to 54 Years,528054
8226,2015,"Los Angeles, CA",62 to 64 Years,115897
8227,2015,"Los Angeles, CA",65 to 74 Years,255534
8228,2014,"Los Angeles, CA",62 to 64 Years,109814
8229,2014,"Los Angeles, CA",5 to 17 Years,605819
8230,2014,"Los Angeles, CA",Under 5 Years,251108
8231,2014,"Los Angeles, CA",25 to 34 Years,675818
8232,2014,"Los Angeles, CA",55 to 59 Years,225217
8233,2014,"Los Angeles, CA",35 to 44 Years,574957
8234,2014,"Los Angeles, CA",75 Years & Over,203248
8235,2014,"Los Angeles, CA",60 & 61 Years,83920
8236,2014,"Los Angeles, CA",45 to 54 Years,515137
8237,2014,"Los Angeles, CA",18 to 24 Years,431909
8238,2014,"Los Angeles, CA",65 to 74 Years,251880
8239,2013,"Los Angeles, CA",75 Years & Over,189991
8240,2013,"Los Angeles, CA",65 to 74 Years,237059
8241,2013,"Los Angeles, CA",18 to 24 Years,440666
8242,2013,"Los Angeles, CA",62 to 64 Years,105902
8243,2013,"Los Angeles, CA",35 to 44 Years,578893
8244,2013,"Los Angeles, CA",25 to 34 Years,662994
8245,2013,"Los Angeles, CA",60 & 61 Years,81159
8246,2013,"Los Angeles, CA",45 to 54 Years,510884
8247,2013,"Los Angeles, CA",5 to 17 Years,603880
8248,2013,"Los Angeles, CA",55 to 59 Years,222970
8249,2013,"Los Angeles, CA",Under 5 Years,249942
8250,2018,"Los Angeles, CA",18 to 24 Years,400942
8251,2018,"Los Angeles, CA",75 Years & Over,216817
8252,2018,"Los Angeles, CA",45 to 54 Years,513173
8253,2018,"Los Angeles, CA",Under 5 Years,228554
8254,2018,"Los Angeles, CA",65 to 74 Years,295610
8255,2018,"Los Angeles, CA",35 to 44 Years,574760
8256,2018,"Los Angeles, CA",55 to 59 Years,238857
8257,2018,"Los Angeles, CA",5 to 17 Years,576129
8258,2018,"Los Angeles, CA",62 to 64 Years,120611
8259,2018,"Los Angeles, CA",25 to 34 Years,732538
8260,2018,"Los Angeles, CA",60 & 61 Years,92478
8261,2017,"Los Angeles, CA",5 to 17 Years,592841
8262,2017,"Los Angeles, CA",75 Years & Over,212358
8263,2017,"Los Angeles, CA",60 & 61 Years,92670
8264,2017,"Los Angeles, CA",25 to 34 Years,714226
8265,2017,"Los Angeles, CA",62 to 64 Years,119771
8266,2017,"Los Angeles, CA",18 to 24 Years,410400
8267,2017,"Los Angeles, CA",55 to 59 Years,241977
8268,2017,"Los Angeles, CA",35 to 44 Years,573786
8269,2017,"Los Angeles, CA",65 to 74 Years,282747
8270,2017,"Los Angeles, CA",Under 5 Years,229431
8271,2017,"Los Angeles, CA",45 to 54 Years,529535
8272,2016,"Los Angeles, CA",5 to 17 Years,593627
8273,2016,"Los Angeles, CA",18 to 24 Years,413650
8274,2016,"Los Angeles, CA",60 & 61 Years,90808
8275,2016,"Los Angeles, CA",75 Years & Over,213048
8276,2016,"Los Angeles, CA",45 to 54 Years,536618
8277,2016,"Los Angeles, CA",35 to 44 Years,566352
8278,2016,"Los Angeles, CA",62 to 64 Years,114153
8279,2016,"Los Angeles, CA",65 to 74 Years,268156
8280,2016,"Los Angeles, CA",55 to 59 Years,237125
8281,2016,"Los Angeles, CA",Under 5 Years,233976
8282,2016,"Los Angeles, CA",25 to 34 Years,708811
8283,2015,"Los Angeles, CA",25 to 34 Years,704854
8284,2015,"Los Angeles, CA",18 to 24 Years,429347
8285,2015,"Los Angeles, CA",55 to 59 Years,228331
8286,2015,"Los Angeles, CA",75 Years & Over,202526
8287,2015,"Los Angeles, CA",35 to 44 Years,568885
8288,2015,"Los Angeles, CA",60 & 61 Years,83834
8289,2015,"Los Angeles, CA",Under 5 Years,255499
8290,2015,"Los Angeles, CA",5 to 17 Years,599135
8291,2015,"Los Angeles, CA",45 to 54 Years,528054
8292,2015,"Los Angeles, CA",62 to 64 Years,115897
8293,2015,"Los Angeles, CA",65 to 74 Years,255534
8294,2014,"Los Angeles, CA",62 to 64 Years,109814
8295,2014,"Los Angeles, CA",5 to 17 Years,605819
8296,2014,"Los Angeles, CA",Under 5 Years,251108
8297,2014,"Los Angeles, CA",25 to 34 Years,675818
8298,2014,"Los Angeles, CA",55 to 59 Years,225217
8299,2014,"Los Angeles, CA",35 to 44 Years,574957
8300,2014,"Los Angeles, CA",75 Years & Over,203248
8301,2014,"Los Angeles, CA",60 & 61 Years,83920
8302,2014,"Los Angeles, CA",45 to 54 Years,515137
8303,2014,"Los Angeles, CA",18 to 24 Years,431909
8304,2014,"Los Angeles, CA",65 to 74 Years,251880
8305,2013,"Los Angeles, CA",75 Years & Over,189991
8306,2013,"Los Angeles, CA",65 to 74 Years,237059
8307,2013,"Los Angeles, CA",18 to 24 Years,440666
8308,2013,"Los Angeles, CA",62 to 64 Years,105902
8309,2013,"Los Angeles, CA",35 to 44 Years,578893
8310,2013,"Los Angeles, CA",25 to 34 Years,662994
8311,2013,"Los Angeles, CA",60 & 61 Years,81159
8312,2013,"Los Angeles, CA",45 to 54 Years,510884
8313,2013,"Los Angeles, CA",5 to 17 Years,603880
8314,2013,"Los Angeles, CA",55 to 59 Years,222970
8315,2013,"Los Angeles, CA",Under 5 Years,249942
8316,2018,"Miami, FL",18 to 24 Years,30527
8317,2018,"Miami, FL",75 Years & Over,41900
8318,2018,"Miami, FL",45 to 54 Years,71718
8319,2018,"Miami, FL",Under 5 Years,26948
8320,2018,"Miami, FL",65 to 74 Years,41123
8321,2018,"Miami, FL",35 to 44 Years,67215
8322,2018,"Miami, FL",55 to 59 Years,28494
8323,2018,"Miami, FL",5 to 17 Years,56486
8324,2018,"Miami, FL",62 to 64 Years,15074
8325,2018,"Miami, FL",25 to 34 Years,80956
8326,2018,"Miami, FL",60 & 61 Years,10470
8327,2017,"Miami, FL",5 to 17 Years,55512
8328,2017,"Miami, FL",75 Years & Over,36040
8329,2017,"Miami, FL",60 & 61 Years,10362
8330,2017,"Miami, FL",25 to 34 Years,77577
8331,2017,"Miami, FL",62 to 64 Years,15697
8332,2017,"Miami, FL",18 to 24 Years,38036
8333,2017,"Miami, FL",55 to 59 Years,27521
8334,2017,"Miami, FL",35 to 44 Years,68373
8335,2017,"Miami, FL",65 to 74 Years,38913
8336,2017,"Miami, FL",Under 5 Years,26488
8337,2017,"Miami, FL",45 to 54 Years,68835
8338,2016,"Miami, FL",5 to 17 Years,52641
8339,2016,"Miami, FL",18 to 24 Years,35785
8340,2016,"Miami, FL",60 & 61 Years,10198
8341,2016,"Miami, FL",75 Years & Over,39903
8342,2016,"Miami, FL",45 to 54 Years,64738
8343,2016,"Miami, FL",35 to 44 Years,67609
8344,2016,"Miami, FL",62 to 64 Years,12279
8345,2016,"Miami, FL",65 to 74 Years,39983
8346,2016,"Miami, FL",55 to 59 Years,30160
8347,2016,"Miami, FL",Under 5 Years,26153
8348,2016,"Miami, FL",25 to 34 Years,74135
8349,2015,"Miami, FL",25 to 34 Years,74621
8350,2015,"Miami, FL",18 to 24 Years,33628
8351,2015,"Miami, FL",55 to 59 Years,29394
8352,2015,"Miami, FL",75 Years & Over,36581
8353,2015,"Miami, FL",35 to 44 Years,66017
8354,2015,"Miami, FL",60 & 61 Years,11742
8355,2015,"Miami, FL",Under 5 Years,27205
8356,2015,"Miami, FL",5 to 17 Years,48374
8357,2015,"Miami, FL",45 to 54 Years,61991
8358,2015,"Miami, FL",62 to 64 Years,13020
8359,2015,"Miami, FL",65 to 74 Years,38416
8360,2014,"Miami, FL",62 to 64 Years,16030
8361,2014,"Miami, FL",5 to 17 Years,50378
8362,2014,"Miami, FL",Under 5 Years,25756
8363,2014,"Miami, FL",25 to 34 Years,69190
8364,2014,"Miami, FL",55 to 59 Years,22151
